Title,Authors,Year,Source title,Cited by,Link,Document Type,Reg_or_Class,author_outcome,Type_of_NN,SJR_best_quartile,SJR_4_areas,sample_size,num_predictors,num_hidden_layers,hidden_layer_1,hidden_layer_2,hidden_layer_3,hidden_layer_4,hidden_layer_5,NN_complexity,RMSE_NN,RMSE_GAM,R2_NN,R2_GAM,AUC_NN,AUC_GAM
Classification of wood using differential thermogravimetric analysis,Francisco-Fernández M.; Tarrío-Saavedra J.; Naya S.; López-Beceiro J.; Artiaga R.,2015,Journal of Thermal Analysis and Calorimetry,19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939982743&doi=10.1007%2fs10973-014-4260-y&partnerID=40&md5=2ac0bbc60c2920a4780b030f16cf9824,Article,Class,NN,MLP,Q2,Engineering & Computer Science,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cetacean distribution models based on visual and passive acoustic data,Frasier K.E.; Garrison L.P.; Soldevilla M.S.; Wiggins S.M.; Hildebrand J.A.,2021,Scientific Reports,19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104431791&doi=10.1038%2fs41598-021-87577-1&partnerID=40&md5=0c30e75d3cdaace45cba00b1aafbf743,Article,Reg,NN,MLP,Q1,Multidisciplinary & Other,4934,9,1,6,NA,NA,NA,NA,7,3.64,3.77,NA,NA,NA,NA
Cetacean distribution models based on visual and passive acoustic data,Frasier K.E.; Garrison L.P.; Soldevilla M.S.; Wiggins S.M.; Hildebrand J.A.,2021,Scientific Reports,19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104431791&doi=10.1038%2fs41598-021-87577-1&partnerID=40&md5=0c30e75d3cdaace45cba00b1aafbf743,Article,Reg,NN,MLP,Q1,Multidisciplinary & Other,4934,9,1,4,NA,NA,NA,NA,5,5.41,5.61,NA,NA,NA,NA
Cetacean distribution models based on visual and passive acoustic data,Frasier K.E.; Garrison L.P.; Soldevilla M.S.; Wiggins S.M.; Hildebrand J.A.,2021,Scientific Reports,19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104431791&doi=10.1038%2fs41598-021-87577-1&partnerID=40&md5=0c30e75d3cdaace45cba00b1aafbf743,Article,Reg,Both,MLP,Q1,Multidisciplinary & Other,6648,9,1,6,NA,NA,NA,NA,7,17.72,17.63,NA,NA,NA,NA
Accurate Quantification of 0–30 cm Soil Organic Carbon in Croplands over the Continental United States Using Machine Learning,Fu P.; Clanton C.; Demuth K.M.; Goodman V.; Griffith L.; Khim-Young M.; Maddalena J.; LaMarca K.; Wright L.A.; Schurman D.W.; Kellner J.R.,2024,Remote Sensing,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197240055&doi=10.3390%2frs16122217&partnerID=40&md5=5ad571ccff9687daf17ea951bec5a090,Article,Reg,unclear,MLP,Q1,Environmental & Agricultural Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.34,0.21,0.28,NA,NA
Habitat prediction and knowledge extraction for spawning European grayling (Thymallus thymallus L.) using a broad range of species distribution models,Fukuda S.; De Baets B.; Waegeman W.; Verwaeren J.; Mouton A.M.,2013,Environmental Modelling and Software,118,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878865230&doi=10.1016%2fj.envsoft.2013.04.005&partnerID=40&md5=8df9063bb741320934dec93ef0744c1e,Article,Class,NN,MLP,Q1,Engineering & Computer Science,18409,4,1,NA,NA,NA,NA,NA,NA,0.313049517,0.333166625,NA,NA,0.89,0.885
Habitat prediction and knowledge extraction for spawning European grayling (Thymallus thymallus L.) using a broad range of species distribution models,Fukuda S.; De Baets B.; Waegeman W.; Verwaeren J.; Mouton A.M.,2013,Environmental Modelling and Software,118,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878865230&doi=10.1016%2fj.envsoft.2013.04.005&partnerID=40&md5=8df9063bb741320934dec93ef0744c1e,Article,Class,NN,MLP,Q1,Engineering & Computer Science,18409,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Habitat prediction and knowledge extraction for spawning European grayling (Thymallus thymallus L.) using a broad range of species distribution models,Fukuda S.; De Baets B.; Waegeman W.; Verwaeren J.; Mouton A.M.,2013,Environmental Modelling and Software,118,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878865230&doi=10.1016%2fj.envsoft.2013.04.005&partnerID=40&md5=8df9063bb741320934dec93ef0744c1e,Article,Class,NN,MLP,Q1,Engineering & Computer Science,18409,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prediction of vertical PM2.5 concentrations alongside an elevated expressway by using the neural network hybrid model and generalized additive model,Gao Y.; Wang Z.; Lu Q.-C.; Liu C.; Peng Z.-R.; Yu Y.,2017,Frontiers of Earth Science,27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991108639&doi=10.1007%2fs11707-016-0593-0&partnerID=40&md5=8d0e1b9b6ec2d80ef3a96f334495d3d2,Article,Reg,NN,PCA_MLP,Q2,Environmental & Agricultural Sciences,69,9,1,5,NA,NA,NA,NA,6,2.29,5.02,NA,NA,NA,NA
Prediction of vertical PM2.5 concentrations alongside an elevated expressway by using the neural network hybrid model and generalized additive model,Gao Y.; Wang Z.; Lu Q.-C.; Liu C.; Peng Z.-R.; Yu Y.,2017,Frontiers of Earth Science,27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991108639&doi=10.1007%2fs11707-016-0593-0&partnerID=40&md5=8d0e1b9b6ec2d80ef3a96f334495d3d2,Article,Reg,NN,PCA_MLP,Q2,Environmental & Agricultural Sciences,109,9,1,13,NA,NA,NA,NA,14,1.94,0.06,NA,NA,NA,NA
An Interpretable Multi-Model Machine Learning Approach for Spatial Mapping of Deep-Sea Polymetallic Nodule Occurrences,Gazis I.-Z.; Charlet F.; Greinert J.,2024,Natural Resources Research,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200551840&doi=10.1007%2fs11053-024-10393-7&partnerID=40&md5=f20d828ddaa456331942688563f2d051,Article,Reg,NN,MLP,Q1,Environmental & Agricultural Sciences,31409,NA,1,1,NA,NA,NA,NA,2,3.56,3.68,0.76,0.75,NA,NA
Modeling the role of genetic factors in characterizing extra-intestinal manifestations in Crohn's disease patients: Does this improve outcome predictions?,Giachino D.F.; Regazzoni S.; Bardessono M.; De Marchi M.; Gregori D.; Astegiano M.; Sapone N.; Terzi E.; Rizzetto M.; Sambataro A.; Salacone P.; Gaia E.; Rocca R.; Lavagna A.; Crocellà L.; Vernetto A.; Daperno M.; Pera A.,2007,Current Medical Research and Opinion,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547143812&doi=10.1185%2f030079907X210471&partnerID=40&md5=bb4187fe243eed47f54f34129279eeaf,Article,Class,NN,MLP,Q2,Health & Biomedical Sciences,152,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,0.72
Modeling the role of genetic factors in characterizing extra-intestinal manifestations in Crohn's disease patients: Does this improve outcome predictions?,Giachino D.F.; Regazzoni S.; Bardessono M.; De Marchi M.; Gregori D.; Astegiano M.; Sapone N.; Terzi E.; Rizzetto M.; Sambataro A.; Salacone P.; Gaia E.; Rocca R.; Lavagna A.; Crocellà L.; Vernetto A.; Daperno M.; Pera A.,2007,Current Medical Research and Opinion,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547143812&doi=10.1185%2f030079907X210471&partnerID=40&md5=bb4187fe243eed47f54f34129279eeaf,Article,Class,NN,MLP,Q2,Health & Biomedical Sciences,152,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,0.77
Prediction of renal insufficiency in Pima Indians with nephropathy of type 2 diabetes mellitus,Goldfarb-Rumyantzev A.S.; Pappas L.,2002,American Journal of Kidney Diseases,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036321578&doi=10.1053%2fajkd.2002.34503&partnerID=40&md5=f4f1e146508b7b89151497db1611d8cd,Article,Reg,unclear,MLP,Q1,Health & Biomedical Sciences,86,13,1,NA,NA,NA,NA,NA,NA,47,40.3,NA,NA,NA,NA
Prediction of renal insufficiency in Pima Indians with nephropathy of type 2 diabetes mellitus,Goldfarb-Rumyantzev A.S.; Pappas L.,2002,American Journal of Kidney Diseases,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036321578&doi=10.1053%2fajkd.2002.34503&partnerID=40&md5=f4f1e146508b7b89151497db1611d8cd,Article,Reg,unclear,MLP,Q1,Health & Biomedical Sciences,86,13,1,NA,NA,NA,NA,NA,NA,0.784,0.784,NA,NA,NA,NA
Prediction of renal insufficiency in Pima Indians with nephropathy of type 2 diabetes mellitus,Goldfarb-Rumyantzev A.S.; Pappas L.,2002,American Journal of Kidney Diseases,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036321578&doi=10.1053%2fajkd.2002.34503&partnerID=40&md5=f4f1e146508b7b89151497db1611d8cd,Article,Class,unclear,MLP,Q1,Health & Biomedical Sciences,86,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,0.87
Non-invasive risk stratification of coronary artery disease: An evaluation of some commonly used statistical classifiers in terms of predictive accuracy and clinical usefulness,Gregori D.; Bigi R.; Cortigiani L.; Bovenzi F.; Fiorentini C.; Picano E.,2009,Journal of Evaluation in Clinical Practice,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349510651&doi=10.1111%2fj.1365-2753.2008.01034.x&partnerID=40&md5=7c512b3861a4d2e9c3061e04ab15e2cc,Article,Class,GAM,MLP,Q2,Health & Biomedical Sciences,5456,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.87
Using data mining techniques in monitoring diabetes care. The simpler the better?,Gregori D.; Petrinco M.; Bo S.; Rosato R.; Pagano E.; Berchialla P.; Merletti F.,2011,Journal of Medical Systems,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955691569&doi=10.1007%2fs10916-009-9363-9&partnerID=40&md5=50147931eb5abefa40d399ad7e430ede,Article,Class,GAM,MLP,Q1,Health & Biomedical Sciences,3892,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0.72
A heuristic approach to predicting water beetle diversity in temporary and fluctuating waters,Gutiérrez-Estrada J.C.; Bilton D.T.,2010,Ecological Modelling,26,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952110711&doi=10.1016%2fj.ecolmodel.2010.03.007&partnerID=40&md5=00e454604d8b7dbbc53f58bc2c14a149,Article,Reg,NN,ensemble_MLP,Q1,Environmental & Agricultural Sciences,68,5,2,10,10,NA,NA,NA,121,NA,NA,0.486,0.821,NA,NA
Modeling inflow rates for the water exchange management in semi-intensive aquaculture ponds,Gutiérrez-Estrada J.C.; Pulido-Calvo I.; De la Rosa I.; Marchini B.,2012,Aquacultural Engineering,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858699242&doi=10.1016%2fj.aquaeng.2011.12.009&partnerID=40&md5=0e20748206e93ca2558c6217f921ead3,Article,Reg,NN,MLP,Q1,Environmental & Agricultural Sciences,234,3,2,10,5,NA,NA,NA,61,0.0314,0.04,NA,NA,NA,NA
"Pacific sardine (Sardinops sagax, Jenyns 1842) landings prediction. A neural network ecosystemic approach",Gutiérrez-Estrada J.C.; Yáñez E.; Pulido-Calvo I.; Silva C.; Plaza F.; Bórquez C.,2009,Fisheries Research,28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-69349090263&doi=10.1016%2fj.fishres.2009.06.014&partnerID=40&md5=f5c9414525b1e291c1830caa5bb24d47,Article,Reg,NN,MLP,Q1,Environmental & Agricultural Sciences,NA,18,1,10,NA,NA,NA,NA,11,10751,11694,0.37,0.25,NA,NA
"Pacific sardine (Sardinops sagax, Jenyns 1842) landings prediction. A neural network ecosystemic approach",Gutiérrez-Estrada J.C.; Yáñez E.; Pulido-Calvo I.; Silva C.; Plaza F.; Bórquez C.,2009,Fisheries Research,28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-69349090263&doi=10.1016%2fj.fishres.2009.06.014&partnerID=40&md5=f5c9414525b1e291c1830caa5bb24d47,Article,Reg,NN,MLP,Q1,Environmental & Agricultural Sciences,NA,18,1,10,NA,NA,NA,NA,11,35586,49664,0.86,0.74,NA,NA
"Mapping eucalypt forest susceptible to dieback associated with bell miners (Manorina melanophys) using laser scanning, SPOT 5 and ancillary topographical data",Haywood A.; Stone C.,2011,Ecological Modelling,20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551566639&doi=10.1016%2fj.ecolmodel.2010.12.012&partnerID=40&md5=2a863a8644b63983892a7529235a818c,Article,Class,Both,MLP,Q1,Environmental & Agricultural Sciences,130,12,1,9,NA,NA,NA,NA,10,NA,NA,NA,NA,0.91,0.9
Modelling the spatial distribution of a threatened butterfly: Impacts of scale and statistical technique,Heikkinen R.K.; Luoto M.; Kuussaari M.; Toivonen T.,2007,Landscape and Urban Planning,50,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846614139&doi=10.1016%2fj.landurbplan.2006.04.002&partnerID=40&md5=2f6aea748ce862b5a4b4a09ad12a3152,Article,Class,Both,MLP,Q1,Multidisciplinary & Other,189300,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0.98
Modelling the spatial distribution of a threatened butterfly: Impacts of scale and statistical technique,Heikkinen R.K.; Luoto M.; Kuussaari M.; Toivonen T.,2007,Landscape and Urban Planning,50,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846614139&doi=10.1016%2fj.landurbplan.2006.04.002&partnerID=40&md5=2f6aea748ce862b5a4b4a09ad12a3152,Article,Class,Both,MLP,Q1,Multidisciplinary & Other,7572,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.99
Modelling the spatial distribution of a threatened butterfly: Impacts of scale and statistical technique,Heikkinen R.K.; Luoto M.; Kuussaari M.; Toivonen T.,2007,Landscape and Urban Planning,50,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846614139&doi=10.1016%2fj.landurbplan.2006.04.002&partnerID=40&md5=2f6aea748ce862b5a4b4a09ad12a3152,Article,Class,Both,MLP,Q1,Multidisciplinary & Other,1893,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,0.92
A comparative study on feature selection based improvement of medium-term demand forecast accuracy,Ilseven E.; Gol M.,2019,"2019 IEEE Milan PowerTech, PowerTech 2019",4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072335941&doi=10.1109%2fPTC.2019.8810598&partnerID=40&md5=10c16b59704291e00b505f80d3294aa6,Conference paper,Reg,GAM,MLP,unranked,Engineering & Computer Science,132,8,NA,NA,NA,NA,NA,NA,NA,7795.4,7246.3,NA,NA,NA,NA
Medium-term electricity demand forecasting based on MARS,Ilseven E.; Gol M.,2017,"2017 IEEE PES Innovative Smart Grid Technologies Conference Europe, ISGT-Europe 2017 - Proceedings",9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046253165&doi=10.1109%2fISGTEurope.2017.8260124&partnerID=40&md5=3dd1da69831d4be62104d04b1d2596b8,Conference paper,Reg,NN,MLP,unranked,Engineering & Computer Science,120,6,NA,NA,NA,NA,NA,NA,NA,11.30522003,11.46075914,NA,NA,NA,NA
Assessment of non-linear models based on regional frequency analysis for estimation of hydrological quantiles at ungauged sites in South Korea,Jung K.; An H.; Lee M.; Um M.-J.; Park D.,2024,Journal of Hydrology: Regional Studies,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186530998&doi=10.1016%2fj.ejrh.2024.101713&partnerID=40&md5=da354ae7c8937751beb6b91de1afe37c,Article,Reg,GAM,ensemble_MLP,Q1,Environmental & Agricultural Sciences,NA,7,1,14,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
Assessment of non-linear models based on regional frequency analysis for estimation of hydrological quantiles at ungauged sites in South Korea,Jung K.; An H.; Lee M.; Um M.-J.; Park D.,2024,Journal of Hydrology: Regional Studies,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186530998&doi=10.1016%2fj.ejrh.2024.101713&partnerID=40&md5=da354ae7c8937751beb6b91de1afe37c,Article,Reg,GAM,ensemble_MLP,Q1,Environmental & Agricultural Sciences,NA,7,1,14,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
Machine learning models of covid-19 cases in the united states: A study of initial lockdown and reopen regimes,Kamis A.; Ding Y.; Qu Z.; Zhang C.,2021,Applied Sciences (Switzerland),2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119967352&doi=10.3390%2fapp112311227&partnerID=40&md5=60e2fc131ada0b52ef355e1df96a6388,Article,Reg,unclear,MLP,Q2,Engineering & Computer Science,1696,9,NA,NA,NA,NA,NA,NA,NA,0.518,0.565,NA,NA,NA,NA
Machine learning models of covid-19 cases in the united states: A study of initial lockdown and reopen regimes,Kamis A.; Ding Y.; Qu Z.; Zhang C.,2021,Applied Sciences (Switzerland),2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119967352&doi=10.3390%2fapp112311227&partnerID=40&md5=60e2fc131ada0b52ef355e1df96a6388,Article,Reg,unclear,MLP,Q2,Engineering & Computer Science,2300,9,NA,NA,NA,NA,NA,NA,NA,0.081,0.1,NA,NA,NA,NA
Calibration Methods for Low-Cost Particulate Matter Sensors Considering Seasonal Variability,Kang J.; Choi K.,2024,Sensors,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194219150&doi=10.3390%2fs24103023&partnerID=40&md5=9877e16fa4dea608b098e0bf67ecb43e,Article,Reg,Both,MLP,Q1,Engineering & Computer Science,16638,3,NA,NA,NA,NA,NA,NA,NA,4.29,4.58,0.96,0.95,NA,NA
Calibration Methods for Low-Cost Particulate Matter Sensors Considering Seasonal Variability,Kang J.; Choi K.,2024,Sensors,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194219150&doi=10.3390%2fs24103023&partnerID=40&md5=9877e16fa4dea608b098e0bf67ecb43e,Article,Reg,GAM,MLP,Q1,Engineering & Computer Science,16598,4,NA,NA,NA,NA,NA,NA,NA,8.68,8.58,0.97,0.97,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90686,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,4,100,100,100,100,NA,30401,NA,NA,0.999,0.993,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90687,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,5,150,150,150,150,150,90751,NA,NA,0.995,0.985,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90688,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,5,50,50,50,50,50,10251,NA,NA,0.997,0.982,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90689,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,4,200,200,200,200,NA,120801,NA,NA,0.999,0.994,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90690,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,5,100,100,100,100,100,40501,NA,NA,0.998,0.986,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90691,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,5,100,100,100,100,100,40501,NA,NA,0.998,0.98,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90692,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,5,150,150,150,150,150,90751,NA,NA,0.992,0.965,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90693,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,4,100,100,100,100,NA,30401,NA,NA,0.998,0.994,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90694,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,5,150,150,150,150,150,90751,NA,NA,0.999,0.988,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90695,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,5,150,150,150,150,150,90751,NA,NA,0.999,0.942,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90696,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,3,200,200,200,NA,NA,80601,NA,NA,0.996,0.99,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90697,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,5,150,150,150,150,150,90751,NA,NA,0.997,0.984,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90698,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,5,150,150,150,150,150,90751,NA,NA,0.999,0.948,NA,NA
A Data-Driven Approach for Fatigue Damage Prediction in Jointed Plain Concrete Pavement Subjected to Superloads †,Koh Y.; Ceylan H.; Kim S.; Cho I.H.,2023,Engineering Proceedings,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186488973&doi=10.3390%2fengproc2023036002&partnerID=40&md5=1933da0bdfdcc66e96cf1d5ebac90699,Article,Reg,NN,MLP,Q3,Engineering & Computer Science,11520,9,5,50,50,50,50,50,10251,NA,NA,0.977,0.915,NA,NA
Automated valuation models: improving model performance by choosing the optimal spatial training level,Krämer B.; Stang M.; Doskoč V.; Schäfers W.; Friedrich T.,2023,Journal of Property Research,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158902208&doi=10.1080%2f09599916.2023.2206823&partnerID=40&md5=1c691391895848fc18a90cfb1e25b9ea,Article,Reg,unclear,MLP,Q2,Multidisciplinary & Other,1212546,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forecasting solar energy production: A comparative study of machine learning algorithms,Ledmaoui Y.; El Maghraoui A.; El Aroussi M.; Saadane R.; Chebak A.; Chehri A.,2023,Energy Reports,38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166934256&doi=10.1016%2fj.egyr.2023.07.042&partnerID=40&md5=b3e0930a70ba9b6257339e3f978a279f,Article,Reg,NN,MLP,Q1,Engineering & Computer Science,365,NA,1,100,NA,NA,NA,NA,101,2.60E-08,368.37,0.99,0.03,NA,NA
Evaluating the performance of Gulf of Alaska walleye pollock (Theragra chalcogramma) recruitment forecasting models using a Monte Carlo resampling strategy,Lee Y.-W.; Megrey B.A.; Macklin S.A.,2009,Canadian Journal of Fisheries and Aquatic Sciences,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65249092134&doi=10.1139%2fF08-203&partnerID=40&md5=66886b134c1353b31f0304d97faad782,Article,Reg,Both,MLP,Q1,Environmental & Agricultural Sciences,41,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evaluating the performance of Gulf of Alaska walleye pollock (Theragra chalcogramma) recruitment forecasting models using a Monte Carlo resampling strategy,Lee Y.-W.; Megrey B.A.; Macklin S.A.,2009,Canadian Journal of Fisheries and Aquatic Sciences,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65249092134&doi=10.1139%2fF08-203&partnerID=40&md5=66886b134c1353b31f0304d97faad782,Article,Reg,Both,MLP,Q1,Environmental & Agricultural Sciences,41,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Structured neural networks for CPUE standardization: A case study of the blue endeavour prawn in Australia's Northern Prawn Fishery,Lei Y.; Zhou S.; Ye N.,2024,Fisheries Research,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201290661&doi=10.1016%2fj.fishres.2024.107140&partnerID=40&md5=53448f058f3956ee6245dc79f617b729,Article,Reg,NN,Struct_MLP,Q1,Environmental & Agricultural Sciences,572867,17,NA,NA,NA,NA,NA,NA,NA,42.62510997,44.66206444,0.354,0.29,NA,NA
